Feature,Importance
s11,0.5453405477079702
s12,0.10098194113565845
s6,0.06455805480221492
s4,0.058144189356999824
s9,0.0575714375547738
s7,0.029574561226443856
s14,0.02388308071677074
s13,0.01756141820564647
s8,0.015949022551163306
s15,0.015718628455653923
s17,0.013868344992825707
s21,0.013182327213872067
s20,0.012173519406017685
s2,0.010158080646537365
s3,0.00898672414416781
